Order ID,Customer ID,Location_ID,Order Date
US-2019-143707,HR-14770,US-Eas-New-New-10035,01-03-2019
CA-2019-168312,GW-14605,US-Cen-Tex-Hou-77036,01-03-2019
CA-2019-107524,KN-16705,US-Eas-New-New-10009,02-03-2019
CA-2019-111157,NH-18610,US-Eas-Pen-Phi-19120,02-03-2019
CA-2019-155852,AJ-10945,US-Sou-Nor-Wil-28403,03-03-2019
US-2019-127978,JS-15595,US-Eas-Ohi-Col-43229,03-03-2019
CA-2019-130421,SC-20020,US-Cen-Tex-Hou-77095,03-03-2019
CA-2019-105648,EJ-14155,US-Wes-Cal-San-92037,03-03-2019
CA-2019-127964,AP-10720,US-Eas-New-New-10035,03-03-2019
CA-2019-117016,SC-20095,US-Sou-Flo-Mar-33063,04-03-2019
CA-2019-116239,CL-12565,US-Sou-Sou-Col-29203,04-03-2019
CA-2019-169061,AB-10150,US-Eas-New-Yon-10701,05-03-2019
CA-2019-104563,CM-12715,US-Wes-Was-Sea-98103,07-03-2019
CA-2019-156587,AB-10015,US-Wes-Was-Sea-98103,07-03-2019
US-2019-131982,NP-18685,US-Wes-Was-Des-98198,07-03-2019
US-2019-140116,KT-16480,US-Wes-Col-Den-80219,10-03-2019
US-2019-100279,SW-20275,US-Cen-Mic-Roy-48073,10-03-2019
US-2019-103338,RB-19435,US-Wes-Cal-Ros-95661,11-03-2019
CA-2019-114790,FM-14215,US-Sou-Ken-Ric-40475,11-03-2019
CA-2019-166884,CK-12205,US-Eas-Ohi-Col-43229,11-03-2019
CA-2019-158337,KA-16525,US-Eas-New-New-10024,11-03-2019
US-2019-125521,CK-12325,US-Sou-Vir-Che-23320,14-03-2019
CA-2019-157623,DK-13225,US-Wes-Cal-Hun-92646,14-03-2019
CA-2019-100293,NF-18475,US-Sou-Flo-Jac-32216,14-03-2019
CA-2019-114510,JF-15295,US-Wes-Uta-Log-84321,14-03-2019
CA-2019-152618,RB-19465,US-Cen-Ill-Chi-60653,14-03-2019
CA-2019-149958,AS-10240,US-Sou-Flo-Tam-33614,15-03-2019
CA-2019-157609,KN-16705,US-Sou-Nor-Ral-27604,16-03-2019
US-2019-164763,MH-17440,US-Sou-Mis-Jac-39212,17-03-2019
CA-2019-127859,QJ-19255,US-Eas-Pen-Phi-19134,17-03-2019
US-2019-148838,CP-12340,US-Eas-New-New-10024,17-03-2019
CA-2019-118339,BN-11515,US-Cen-Min-Lak-55044,17-03-2019
CA-2019-158442,AZ-10750,US-Cen-Tex-Dal-75217,17-03-2019
CA-2019-145317,SM-20320,US-Sou-Flo-Jac-32216,18-03-2019
US-2019-131275,SC-20050,US-Wes-Cal-Bur-91505,18-03-2019
CA-2019-111871,EK-13795,US-Wes-Cal-San-94110,18-03-2019
CA-2019-103989,MC-17605,US-Sou-Flo-Lak-33801,19-03-2019
CA-2019-163223,KH-16690,US-Sou-Vir-Spr-22153,21-03-2019
US-2019-155544,GM-14440,US-Sou-Ten-Kno-37918,21-03-2019
CA-2019-140004,CB-12025,US-Eas-Ohi-Ham-45011,21-03-2019
US-2019-107405,TS-21205,US-Sou-Nor-Ash-28806,21-03-2019
CA-2019-148040,BF-11275,US-Wes-Ari-Tuc-85705,22-03-2019
US-2019-158057,CC-12685,US-Sou-Nor-Gre-27405,22-03-2019
US-2019-129609,VM-21835,US-Cen-Ind-Por-46368,22-03-2019
CA-2019-164749,BG-11740,US-Sou-Flo-Del-33445,23-03-2019
CA-2019-120838,PO-18865,US-Wes-Cal-Los-90036,23-03-2019
CA-2019-143637,MS-17710,US-Wes-Cal-Fre-93727,24-03-2019
CA-2019-147235,CD-11920,US-Eas-New-New-10024,24-03-2019
CA-2019-148586,AZ-10750,US-Eas-New-New-10009,25-03-2019
CA-2019-128237,CA-12265,US-Wes-Cal-San-94110,25-03-2019
CA-2019-100860,CS-12505,US-Wes-Cal-Pom-91767,26-03-2019
CA-2019-138436,JD-15895,US-Wes-Cal-Los-90036,26-03-2019
CA-2019-141838,DK-12835,US-Wes-Cal-San-94122,26-03-2019
US-2019-137869,CV-12295,US-Cen-Iow-Des-50315,28-03-2019
CA-2019-100881,DR-12940,US-Wes-New-Alb-87105,28-03-2019
US-2019-117380,MP-18175,US-Eas-Ohi-Spr-45503,28-03-2019
CA-2019-137274,MG-18145,US-Cen-Tex-Pla-75023,29-03-2019
CA-2019-162089,MP-17470,US-Cen-Tex-Bro-78521,30-03-2019
US-2019-113124,NC-18340,US-Cen-Min-App-55124,30-03-2019
CA-2019-133424,Dl-13600,US-Wes-Was-Sea-98105,30-03-2019
US-2019-105151,SG-20890,US-Eas-New-New-10009,30-03-2019
CA-2019-169033,KM-16720,US-Eas-New-Lon-11561,30-03-2019
CA-2019-131247,GA-14725,US-Wes-Cal-San-94110,30-03-2019
CA-2019-130428,TG-21640,US-Sou-Flo-Tam-33614,31-03-2019
CA-2019-101770,KB-16240,US-Sou-Flo-Mia-33180,31-03-2019
US-2019-104759,DD-13570,US-Cen-Ill-Chi-60610,31-03-2019
CA-2019-112403,JO-15280,US-Eas-Pen-Phi-19120,31-03-2019
CA-2019-128055,AA-10315,US-Wes-Cal-San-94122,31-03-2019
US-2019-157021,KM-16720,US-Wes-Cal-Val-94591,01-04-2019
CA-2019-138359,KH-16330,US-Eas-Mas-Rev-2151,01-04-2019
CA-2019-160276,AH-10690,US-Sou-Vir-Vir-23464,02-04-2019
CA-2019-164315,RD-19585,US-Sou-Geo-Ath-30605,02-04-2019
US-2019-157847,SC-20020,US-Cen-Tex-Hou-77095,02-04-2019
CA-2019-112291,KE-16420,US-Wes-Cal-Los-90008,03-04-2019
CA-2019-149538,KB-16585,US-Sou-Lou-Laf-70506,04-04-2019
CA-2019-133228,MS-17710,US-Cen-Mic-Det-48205,04-04-2019
US-2019-128685,MZ-17515,US-Wes-Cal-Los-90008,04-04-2019
CA-2019-105172,PK-18910,US-Wes-Cal-San-94109,04-04-2019
CA-2019-151001,JG-15805,US-Cen-Ill-Dec-62521,05-04-2019
US-2019-157231,RP-19855,US-Sou-Ken-Ric-40475,05-04-2019
CA-2019-102988,GM-14695,US-Sou-Vir-Ale-22304,05-04-2019
CA-2019-149104,RD-19900,US-Cen-Mic-Dea-48127,05-04-2019
CA-2019-113887,TH-21550,US-Eas-New-New-10035,05-04-2019
CA-2019-153808,FH-14275,US-Wes-Cal-Los-90004,06-04-2019
CA-2019-169803,SC-20260,US-Wes-Was-Sea-98115,06-04-2019
US-2019-118486,SD-20485,US-Eas-Pen-Phi-19143,06-04-2019
CA-2019-136742,GP-14740,US-Eas-Pen-Lan-17602,06-04-2019
CA-2019-102652,AY-10555,US-Wes-Cal-Los-90049,06-04-2019
CA-2019-124023,PJ-19015,US-Sou-Ala-Mob-36608,07-04-2019
CA-2019-165806,VM-21685,US-Sou-Geo-Mar-30062,07-04-2019
CA-2019-128846,RS-19765,US-Sou-Sou-Col-29203,07-04-2019
CA-2019-100363,JM-15655,US-Wes-Ari-Gle-85301,08-04-2019
CA-2019-121769,JS-15880,US-Eas-Ohi-Tol-43615,08-04-2019
US-2019-163797,PC-19000,US-Wes-Ari-Cha-85224,08-04-2019
CA-2019-150581,NM-18445,US-Wes-Cal-Con-94521,08-04-2019
US-2019-118997,RA-19885,US-Sou-Ala-Dec-35601,08-04-2019
US-2019-102715,JK-15370,US-Sou-Flo-Mia-33180,11-04-2019
CA-2019-110555,MM-18055,US-Wes-Mon-Gre-59405,11-04-2019
CA-2019-138940,GM-14455,US-Cen-Tex-Aus-78745,11-04-2019
US-2019-121734,SE-20110,US-Wes-Ida-Lew-83501,11-04-2019
CA-2019-154599,KN-16450,US-Wes-Cal-Red-90278,12-04-2019
CA-2019-142979,EH-13765,US-Wes-Cal-Lod-95240,12-04-2019
US-2019-158365,SV-20785,US-Cen-Ind-Blo-47401,12-04-2019
CA-2019-167724,BF-11170,US-Eas-Mar-Bal-21215,13-04-2019
CA-2019-122336,JD-15895,US-Eas-Pen-Phi-19140,13-04-2019
US-2019-120740,PS-18970,US-Wes-Cal-Los-90049,15-04-2019
CA-2019-155208,SP-20650,US-Sou-Nor-Wil-28403,16-04-2019
CA-2019-100678,KM-16720,US-Cen-Tex-Hou-77095,18-04-2019
CA-2019-110849,JL-15835,US-Wes-Cal-Los-90049,18-04-2019
CA-2019-158470,AG-10390,US-Sou-Vir-Arl-22204,19-04-2019
CA-2019-134572,SV-20365,US-Cen-Tex-Hou-77070,20-04-2019
CA-2019-101462,BP-11230,US-Wes-Cal-Los-90045,20-04-2019
CA-2019-136336,DB-13555,US-Sou-Ken-Hen-42420,21-04-2019
CA-2019-158064,AA-10375,US-Wes-Cal-Los-90008,21-04-2019
CA-2019-122070,AH-10030,US-Eas-New-Tro-12180,22-04-2019
CA-2019-111857,NM-18445,US-Wes-Cal-San-94109,23-04-2019
US-2019-112564,TS-21160,US-Eas-Pen-Phi-19134,23-04-2019
US-2019-150119,LB-16795,US-Eas-Ohi-Col-43229,23-04-2019
US-2019-157406,DA-13450,US-Cen-Tex-Hou-77095,25-04-2019
CA-2019-166954,BT-11305,US-Wes-Cal-San-91776,25-04-2019
CA-2019-110100,LC-16885,US-Sou-Nor-Wil-28403,25-04-2019
CA-2019-116785,MH-17290,US-Wes-Cal-Los-90036,26-04-2019
CA-2019-147298,AG-10300,US-Wes-Cal-Los-90049,26-04-2019
CA-2019-140228,GB-14530,US-Eas-Ohi-New-43055,28-04-2019
CA-2019-132983,DS-13180,US-Eas-New-Jam-14701,28-04-2019
CA-2019-118976,MY-18295,US-Eas-Mar-Bal-21215,28-04-2019
CA-2019-131387,AI-10855,US-Wes-Cal-San-94122,28-04-2019
CA-2019-107811,LA-16780,US-Sou-Ten-Mem-38109,29-04-2019
CA-2019-118304,KH-16360,US-Eas-Del-Dov-19901,29-04-2019
CA-2019-134061,LL-16840,US-Eas-New-Roc-14609,29-04-2019
CA-2019-142727,HG-14845,US-Sou-Lou-Lak-70601,29-04-2019
CA-2019-156006,TM-21010,US-Sou-Mis-Jac-39212,30-04-2019
CA-2019-160094,JM-16195,US-Sou-Ken-Lou-40214,30-04-2019
CA-2019-115056,AR-10510,US-Eas-Ohi-Col-43229,02-05-2019
CA-2019-124618,CS-11860,US-Sou-Flo-Lak-33801,02-05-2019
CA-2019-130274,JS-15940,US-Cen-Wis-App-54915,03-05-2019
CA-2019-135755,NC-18415,US-Eas-New-Yon-10701,03-05-2019
CA-2019-111899,NC-18340,US-Cen-Tex-Hou-77036,04-05-2019
US-2019-148194,BS-11365,US-Wes-Was-Sea-98105,04-05-2019
CA-2019-117709,PM-18940,US-Cen-Mic-Jac-49201,04-05-2019
CA-2019-111934,GD-14590,US-Sou-Vir-Arl-22204,05-05-2019
CA-2019-160738,KH-16330,US-Cen-Ill-Fre-61032,05-05-2019
CA-2019-166457,PF-19120,US-Sou-Ken-Ric-40475,05-05-2019
US-2019-154879,SN-20710,US-Wes-Cal-Los-90004,06-05-2019
CA-2019-121664,HP-14815,US-Wes-Cal-Los-90049,06-05-2019
CA-2019-166086,CT-11995,US-Eas-Mas-Law-1841,07-05-2019
CA-2019-116666,KT-16480,US-Eas-Pen-Phi-19134,08-05-2019
CA-2019-158771,SB-20290,US-Sou-Ken-Hen-42420,09-05-2019
US-2019-102071,PG-18820,US-Wes-Cal-San-94110,09-05-2019
CA-2019-159709,AI-10855,US-Wes-Was-Ken-98031,10-05-2019
CA-2019-103310,GM-14680,US-Wes-Cal-San-95123,10-05-2019
CA-2019-114181,AF-10885,US-Eas-Pen-Phi-19134,10-05-2019
CA-2019-152100,VW-21775,US-Cen-Tex-Hun-77340,11-05-2019
CA-2019-139017,RM-19375,US-Cen-Tex-Hou-77095,11-05-2019
CA-2019-127523,BG-11695,US-Eas-New-Wat-13601,11-05-2019
CA-2019-119172,HD-14785,US-Cen-Ill-Chi-60610,11-05-2019
CA-2019-103849,PG-18895,US-Cen-Tex-For-76106,11-05-2019
CA-2019-155887,KT-16480,US-Eas-Mas-Fra-2038,12-05-2019
CA-2019-127159,HL-15040,US-Cen-Wis-Mil-53209,12-05-2019
CA-2019-113768,AH-10030,US-Wes-Cal-Los-90004,13-05-2019
CA-2019-140165,EH-14005,US-Sou-Flo-Hia-33012,13-05-2019
CA-2019-167164,AG-10270,US-Wes-Uta-Wes-84084,13-05-2019
CA-2019-114433,NP-18325,US-Wes-Cal-Oak-94601,13-05-2019
CA-2019-106810,AJ-10795,US-Sou-Flo-Sai-33710,14-05-2019
US-2019-163146,CC-12475,US-Wes-Cal-San-94122,16-05-2019
CA-2019-125150,PW-19030,US-Wes-Cal-Los-90036,16-05-2019
CA-2019-148761,PA-19060,US-Cen-Wis-Eau-54703,17-05-2019
CA-2019-133963,GA-14515,US-Cen-Tex-Dal-75220,18-05-2019
CA-2019-164224,TT-21070,US-Eas-Ohi-Akr-44312,18-05-2019
CA-2019-103373,BS-11755,US-Eas-Ohi-Cle-44105,18-05-2019
CA-2019-130155,TD-20995,US-Sou-Vir-Vir-23464,19-05-2019
US-2019-107699,JH-15820,US-Cen-Mic-Mid-48640,19-05-2019
US-2019-114188,RF-19345,US-Eas-New-Dov-3820,20-05-2019
CA-2019-130673,MC-17590,US-Cen-Tex-San-78666,20-05-2019
CA-2019-127166,KH-16360,US-Cen-Tex-Hou-77070,21-05-2019
CA-2019-104780,BT-11530,US-Wes-Cal-San-92037,21-05-2019
CA-2019-117639,MW-18235,US-Sou-Vir-Vir-23464,21-05-2019
CA-2019-152443,FG-14260,US-Eas-Mas-Law-1841,21-05-2019
CA-2019-143840,EH-14185,US-Sou-Ala-Dec-35601,22-05-2019
US-2019-135881,GT-14710,US-Eas-New-New-10035,23-05-2019
US-2019-105767,AR-10510,US-Eas-Pen-Phi-19134,23-05-2019
CA-2019-138513,EH-13990,US-Wes-Was-Bel-98006,23-05-2019
CA-2019-143413,RP-19390,US-Eas-Mar-Bal-21215,24-05-2019
US-2019-130379,JL-15235,US-Cen-Ill-Chi-60623,25-05-2019
CA-2019-100391,BW-11065,US-Eas-New-New-10035,25-05-2019
CA-2019-144029,MM-18055,US-Cen-Ill-Chi-60623,26-05-2019
CA-2019-158029,HF-14995,US-Wes-Cal-Los-90008,26-05-2019
CA-2019-156349,ML-17395,US-Wes-Cal-Los-90008,26-05-2019
CA-2019-129574,Dp-13240,US-Wes-Uta-Mur-84107,26-05-2019
CA-2019-124429,MH-17785,US-Wes-Cal-San-92105,27-05-2019
CA-2019-139192,LC-16885,US-Wes-Cal-San-94109,27-05-2019
US-2019-117058,LE-16810,US-Cen-Ill-Chi-60653,27-05-2019
CA-2019-135993,PJ-18835,US-Wes-Was-Sea-98115,28-05-2019
CA-2019-108861,MM-17260,US-Wes-Was-Sea-98105,28-05-2019
CA-2019-103429,LW-16825,US-Eas-New-New-10024,30-05-2019
CA-2019-146885,EB-13840,US-Sou-Vir-Ric-23223,30-05-2019
CA-2019-140473,MC-17425,US-Cen-Ill-Chi-60623,30-05-2019
CA-2019-145800,SS-20410,US-Cen-Ill-Buf-60089,30-05-2019
CA-2019-105872,JG-15160,US-Eas-New-New-10024,30-05-2019
CA-2019-166051,JK-15625,US-Sou-Mis-Jac-39212,31-05-2019
CA-2019-131926,DW-13480,US-Cen-Min-Lak-55044,01-06-2019
CA-2019-111003,CR-12625,US-Eas-New-Lak-8701,01-06-2019
US-2019-157070,QJ-19255,US-Cen-Mic-Det-48234,01-06-2019
US-2019-165659,LT-17110,US-Sou-Ark-Lit-72209,01-06-2019
CA-2019-104472,CK-12325,US-Wes-Uta-Ore-84057,02-06-2019
CA-2019-100895,SV-20785,US-Sou-Geo-Ros-30076,02-06-2019
CA-2019-163867,RE-19450,US-Cen-Ill-Dec-62521,03-06-2019
CA-2019-135657,SC-20725,US-Wes-Was-Sea-98115,03-06-2019
CA-2019-141299,RB-19795,US-Cen-Mic-Mid-48640,03-06-2019
CA-2019-147914,MP-17470,US-Eas-Ohi-Col-43229,04-06-2019
CA-2019-151946,BT-11440,US-Eas-New-New-10035,04-06-2019
CA-2019-169257,SV-20785,US-Sou-Flo-Jac-32216,06-06-2019
US-2019-161305,SB-20170,US-Cen-Ill-Chi-60623,06-06-2019
CA-2019-159520,GT-14635,US-Eas-New-Lon-11561,06-06-2019
CA-2019-151897,VT-21700,US-Cen-Tex-Hou-77070,06-06-2019
CA-2019-133270,BM-11785,US-Eas-New-Roc-14609,06-06-2019
CA-2019-106229,NR-18550,US-Cen-Ill-Aur-60505,07-06-2019
US-2019-134971,BP-11095,US-Cen-Ill-Peo-61604,07-06-2019
US-2019-109162,KE-16420,US-Sou-Ten-Bri-37620,08-06-2019
CA-2019-108147,RD-19480,US-Eas-New-Lon-11561,08-06-2019
US-2019-141257,CS-11950,US-Wes-Was-Sea-98115,08-06-2019
CA-2019-115812,BH-11710,US-Wes-Cal-Los-90032,09-06-2019
CA-2019-133753,CW-11905,US-Cen-Tex-Hun-77340,09-06-2019
CA-2019-160262,TS-21205,US-Wes-Nev-Nor-89031,09-06-2019
CA-2019-133851,CM-12445,US-Wes-Cal-San-94122,09-06-2019
CA-2019-132612,FO-14305,US-Sou-Vir-Har-22801,09-06-2019
CA-2019-144281,HK-14890,US-Cen-Mic-Det-48234,10-06-2019
CA-2019-114643,FM-14215,US-Wes-Cal-Los-90032,13-06-2019
CA-2019-140487,SR-20425,US-Cen-Mic-Det-48234,14-06-2019
CA-2019-126963,PS-18760,US-Cen-Tex-El -79907,15-06-2019
US-2019-141215,KL-16555,US-Cen-Tex-San-78207,15-06-2019
CA-2019-113929,CK-12205,US-Eas-New-Hem-11550,16-06-2019
CA-2019-136644,SC-20575,US-Cen-Ind-Mis-46544,16-06-2019
CA-2019-156342,JF-15415,US-Cen-Ill-Chi-60653,17-06-2019
CA-2019-144414,GH-14425,US-Wes-Was-Sea-98105,17-06-2019
CA-2019-104402,DB-13660,US-Eas-Del-New-19711,17-06-2019
CA-2019-123855,MC-18100,US-Wes-Cal-Los-90036,18-06-2019
CA-2019-166863,SC-20020,US-Cen-Tex-Pla-75023,20-06-2019
US-2019-112949,Co-12640,US-Cen-Okl-Law-73505,20-06-2019
CA-2019-138317,NW-18400,US-Eas-Pen-Phi-19120,21-06-2019
US-2019-160780,SV-20785,US-Wes-Col-Pue-81001,21-06-2019
CA-2019-128146,DB-13060,US-Eas-New-Lak-8701,21-06-2019
CA-2019-141278,RM-19375,US-Eas-Con-Mer-6450,21-06-2019
US-2019-117135,NP-18325,US-Sou-Vir-Way-22980,21-06-2019
CA-2019-130624,TB-21280,US-Eas-New-New-10024,21-06-2019
CA-2019-141796,JG-15160,US-Eas-New-Lon-11561,21-06-2019
CA-2019-133389,TB-21280,US-Wes-Ari-Pho-85023,22-06-2019
CA-2019-124646,DV-13465,US-Cen-Min-Min-55407,22-06-2019
CA-2019-154963,AA-10645,US-Eas-Pen-Che-19013,22-06-2019
CA-2019-142048,JE-15745,US-Wes-Col-Lou-80027,22-06-2019
CA-2019-126032,BS-11665,US-Eas-Pen-Phi-19143,23-06-2019
US-2019-130358,DL-13330,US-Sou-Nor-Con-28027,23-06-2019
CA-2019-159814,LP-17080,US-Wes-Ari-Tuc-85705,24-06-2019
CA-2019-164469,GK-14620,US-Wes-Ore-Sal-97301,25-06-2019
CA-2019-159338,NS-18640,US-Wes-Cal-Los-90049,25-06-2019
CA-2019-104283,LM-17065,US-Sou-Mis-Sou-38671,27-06-2019
CA-2019-156993,RW-19630,US-Cen-Mic-Det-48234,28-06-2019
CA-2019-140858,CA-12775,US-Eas-Pen-Phi-19140,28-06-2019
CA-2019-111773,JK-15625,US-Eas-New-New-10024,29-06-2019
CA-2019-165974,DL-12865,US-Eas-Ohi-Cin-45231,29-06-2019
CA-2019-109218,AR-10825,US-Wes-Cal-Los-90004,30-06-2019
CA-2019-116757,MS-17980,US-Cen-Tex-Hou-77095,30-06-2019
CA-2019-152254,BD-11620,US-Sou-Nor-Wil-28403,30-06-2019
US-2019-121566,CS-11860,US-Eas-New-New-10011,30-06-2019
CA-2019-123064,RA-19915,US-Cen-Ill-Chi-60653,30-06-2019
CA-2019-146640,HA-14905,US-Eas-New-New-10024,30-06-2019
CA-2019-160773,LW-16825,US-Sou-Flo-Del-32725,01-07-2019
CA-2019-153150,Dl-13600,US-Wes-Was-Sea-98105,01-07-2019
CA-2019-107594,EH-13945,US-Eas-New-Pla-7060,02-07-2019
CA-2019-120096,KE-16420,US-Wes-Col-Aur-80013,04-07-2019
CA-2019-138709,MS-17770,US-Sou-Vir-Ric-23223,04-07-2019
CA-2019-152849,DW-13195,US-Sou-Ten-Kno-37918,05-07-2019
CA-2019-103317,DM-13525,US-Sou-Flo-Pal-32137,05-07-2019
CA-2019-157784,MC-17845,US-Sou-Mis-Jac-39212,05-07-2019
US-2019-160444,DC-12850,US-Cen-Tex-Hou-77036,05-07-2019
CA-2019-107139,DP-13390,US-Wes-Cal-Los-90004,05-07-2019
CA-2019-134278,EP-13915,US-Eas-New-New-10011,06-07-2019
CA-2019-147543,BC-11125,US-Wes-Cal-El -92020,06-07-2019
US-2019-138758,JL-15835,US-Eas-Pen-Phi-19120,07-07-2019
CA-2019-150301,MH-18025,US-Eas-New-Buf-14215,08-07-2019
CA-2019-100090,EB-13705,US-Wes-Cal-San-94122,08-07-2019
CA-2019-114125,GH-14410,US-Wes-Cal-Los-90049,09-07-2019
CA-2019-165379,BM-11650,US-Cen-Tex-Dal-75217,09-07-2019
CA-2019-113271,DS-13030,US-Wes-Cal-San-94122,09-07-2019
CA-2019-163552,LA-16780,US-Eas-New-Hac-7601,11-07-2019
CA-2019-123225,MN-17935,US-Cen-Tex-El -79907,11-07-2019
CA-2019-133305,MH-17455,US-Eas-New-New-10011,11-07-2019
CA-2019-166555,JK-15205,US-Eas-New-Nia-14304,11-07-2019
CA-2019-124807,ME-17725,US-Cen-Ill-Chi-60610,12-07-2019
CA-2019-129924,AC-10420,US-Wes-Cal-San-94122,12-07-2019
CA-2019-161508,PV-18985,US-Cen-Tex-Lea-77573,12-07-2019
CA-2019-110184,BF-11170,US-Wes-Cal-Los-90036,12-07-2019
CA-2019-131310,CL-12565,US-Wes-Was-Sea-98115,12-07-2019
US-2019-165862,GK-14620,US-Wes-Cal-Los-90049,13-07-2019
CA-2019-164182,ST-20530,US-Eas-Pen-Phi-19140,14-07-2019
CA-2019-124464,SS-20515,US-Eas-Del-New-19711,14-07-2019
US-2019-150532,PB-19150,US-Wes-Ari-Pho-85023,14-07-2019
US-2019-103905,AW-10930,US-Cen-Ill-Aur-60505,14-07-2019
CA-2019-109904,BF-10975,US-Eas-New-New-10009,14-07-2019
CA-2019-115980,VW-21775,US-Cen-Sou-Sio-57103,15-07-2019
CA-2019-123295,AH-10120,US-Wes-Ari-Tuc-85705,18-07-2019
CA-2019-138198,JL-15130,US-Eas-New-New-10801,18-07-2019
US-2019-150434,CA-12310,US-Eas-Con-Bri-6010,19-07-2019
