shipment_id,Order ID,Ship Date,Ship Mode
SC-2019-02-111059,CA-2019-111059,07-02-2019,Second Class
SC-2019-02-107181,CA-2019-107181,09-02-2019,Standard Class
SC-2019-02-104808,CA-2019-104808,09-02-2019,Second Class
FC-2019-02-131905,CA-2019-131905,10-02-2019,First Class
SC-2019-02-108182,CA-2019-108182,11-02-2019,Second Class
SC-2019-02-107755,CA-2019-107755,13-02-2019,Standard Class
SC-2019-02-169390,US-2019-169390,11-02-2019,Second Class
FC-2019-02-125759,CA-2019-125759,10-02-2019,First Class
SC-2019-02-168368,CA-2019-168368,16-02-2019,Second Class
SC-2019-02-127614,CA-2019-127614,16-02-2019,Standard Class
SC-2019-02-110674,US-2019-110674,19-02-2019,Standard Class
SC-2019-02-121762,CA-2019-121762,19-02-2019,Standard Class
SC-2019-02-107706,CA-2019-107706,20-02-2019,Second Class
SC-2019-02-165568,CA-2019-165568,20-02-2019,Standard Class
SC-2019-02-122567,CA-2019-122567,22-02-2019,Standard Class
SC-2019-02-154165,CA-2019-154165,25-02-2019,Standard Class
SC-2019-02-152905,CA-2019-152905,25-02-2019,Standard Class
SC-2019-02-165589,US-2019-165589,19-02-2019,Same Day
SC-2019-02-109491,CA-2019-109491,27-02-2019,Standard Class
SC-2019-02-164903,CA-2019-164903,25-02-2019,Standard Class
SC-2019-02-165540,CA-2019-165540,26-02-2019,Standard Class
FC-2019-02-133354,CA-2019-133354,25-02-2019,First Class
SC-2019-02-103744,CA-2019-103744,28-02-2019,Standard Class
SC-2019-03-137680,US-2019-137680,02-03-2019,Standard Class
FC-2019-03-156545,CA-2019-156545,03-03-2019,First Class
SC-2019-03-113880,CA-2019-113880,05-03-2019,Standard Class
SC-2019-03-104269,CA-2019-104269,06-03-2019,Second Class
SC-2019-03-131009,CA-2019-131009,05-03-2019,Standard Class
SC-2019-03-143707,US-2019-143707,05-03-2019,Standard Class
SC-2019-03-168312,CA-2019-168312,07-03-2019,Standard Class
SC-2019-03-107524,CA-2019-107524,08-03-2019,Standard Class
SC-2019-03-111157,CA-2019-111157,06-03-2019,Standard Class
SC-2019-03-155852,CA-2019-155852,07-03-2019,Second Class
SC-2019-03-127978,US-2019-127978,08-03-2019,Standard Class
SC-2019-03-130421,CA-2019-130421,07-03-2019,Standard Class
SC-2019-03-105648,CA-2019-105648,07-03-2019,Standard Class
SC-2019-03-127964,CA-2019-127964,08-03-2019,Standard Class
SC-2019-03-117016,CA-2019-117016,09-03-2019,Standard Class
SC-2019-03-116239,CA-2019-116239,04-03-2019,Same Day
SC-2019-03-169061,CA-2019-169061,08-03-2019,Second Class
SC-2019-03-104563,CA-2019-104563,12-03-2019,Standard Class
FC-2019-03-156587,CA-2019-156587,08-03-2019,First Class
SC-2019-03-131982,US-2019-131982,11-03-2019,Second Class
SC-2019-03-140116,US-2019-140116,17-03-2019,Standard Class
SC-2019-03-100279,US-2019-100279,14-03-2019,Standard Class
SC-2019-03-103338,US-2019-103338,15-03-2019,Standard Class
SC-2019-03-114790,CA-2019-114790,13-03-2019,Second Class
SC-2019-03-166884,CA-2019-166884,16-03-2019,Second Class
SC-2019-03-158337,CA-2019-158337,14-03-2019,Second Class
SC-2019-03-125521,US-2019-125521,19-03-2019,Standard Class
SC-2019-03-157623,CA-2019-157623,18-03-2019,Standard Class
SC-2019-03-100293,CA-2019-100293,18-03-2019,Standard Class
SC-2019-03-114510,CA-2019-114510,19-03-2019,Standard Class
FC-2019-03-152618,CA-2019-152618,17-03-2019,First Class
SC-2019-03-149958,CA-2019-149958,19-03-2019,Standard Class
SC-2019-03-157609,CA-2019-157609,21-03-2019,Second Class
SC-2019-03-164763,US-2019-164763,21-03-2019,Standard Class
SC-2019-03-127859,CA-2019-127859,20-03-2019,Second Class
SC-2019-03-148838,US-2019-148838,21-03-2019,Standard Class
SC-2019-03-118339,CA-2019-118339,24-03-2019,Standard Class
SC-2019-03-158442,CA-2019-158442,17-03-2019,Same Day
SC-2019-03-145317,CA-2019-145317,23-03-2019,Standard Class
SC-2019-03-131275,US-2019-131275,24-03-2019,Standard Class
SC-2019-03-111871,CA-2019-111871,21-03-2019,Second Class
FC-2019-03-103989,CA-2019-103989,21-03-2019,First Class
SC-2019-03-163223,CA-2019-163223,25-03-2019,Standard Class
SC-2019-03-155544,US-2019-155544,25-03-2019,Standard Class
SC-2019-03-140004,CA-2019-140004,25-03-2019,Standard Class
SC-2019-03-107405,US-2019-107405,25-03-2019,Standard Class
SC-2019-03-148040,CA-2019-148040,26-03-2019,Standard Class
SC-2019-03-158057,US-2019-158057,26-03-2019,Standard Class
SC-2019-03-129609,US-2019-129609,22-03-2019,Same Day
FC-2019-03-164749,CA-2019-164749,26-03-2019,First Class
SC-2019-03-120838,CA-2019-120838,26-03-2019,Second Class
SC-2019-03-143637,CA-2019-143637,29-03-2019,Second Class
SC-2019-03-147235,CA-2019-147235,28-03-2019,Standard Class
SC-2019-04-148586,CA-2019-148586,01-04-2019,Standard Class
SC-2019-03-128237,CA-2019-128237,30-03-2019,Standard Class
SC-2019-03-100860,CA-2019-100860,30-03-2019,Second Class
SC-2019-03-138436,CA-2019-138436,30-03-2019,Standard Class
SC-2019-03-141838,CA-2019-141838,31-03-2019,Second Class
SC-2019-04-137869,US-2019-137869,02-04-2019,Standard Class
SC-2019-04-100881,CA-2019-100881,01-04-2019,Standard Class
SC-2019-04-117380,US-2019-117380,03-04-2019,Standard Class
SC-2019-04-137274,CA-2019-137274,02-04-2019,Standard Class
FC-2019-04-162089,CA-2019-162089,01-04-2019,First Class
SC-2019-04-113124,US-2019-113124,05-04-2019,Standard Class
SC-2019-04-133424,CA-2019-133424,04-04-2019,Standard Class
FC-2019-03-105151,US-2019-105151,31-03-2019,First Class
SC-2019-04-169033,CA-2019-169033,03-04-2019,Standard Class
SC-2019-04-131247,CA-2019-131247,04-04-2019,Standard Class
SC-2019-03-130428,CA-2019-130428,31-03-2019,Same Day
SC-2019-04-101770,CA-2019-101770,04-04-2019,Standard Class
SC-2019-04-104759,US-2019-104759,04-04-2019,Standard Class
SC-2019-03-112403,CA-2019-112403,31-03-2019,Same Day
SC-2019-04-128055,CA-2019-128055,05-04-2019,Standard Class
SC-2019-04-157021,US-2019-157021,06-04-2019,Second Class
SC-2019-04-138359,CA-2019-138359,06-04-2019,Standard Class
SC-2019-04-160276,CA-2019-160276,08-04-2019,Standard Class
SC-2019-04-164315,CA-2019-164315,08-04-2019,Standard Class
SC-2019-04-157847,US-2019-157847,06-04-2019,Second Class
SC-2019-04-112291,CA-2019-112291,08-04-2019,Standard Class
SC-2019-04-149538,CA-2019-149538,08-04-2019,Standard Class
SC-2019-04-133228,CA-2019-133228,09-04-2019,Standard Class
FC-2019-04-128685,US-2019-128685,05-04-2019,First Class
SC-2019-04-105172,CA-2019-105172,09-04-2019,Standard Class
FC-2019-04-151001,CA-2019-151001,07-04-2019,First Class
SC-2019-04-157231,US-2019-157231,09-04-2019,Standard Class
SC-2019-04-102988,CA-2019-102988,09-04-2019,Second Class
SC-2019-04-149104,CA-2019-149104,07-04-2019,Second Class
FC-2019-04-113887,CA-2019-113887,07-04-2019,First Class
SC-2019-04-153808,CA-2019-153808,10-04-2019,Second Class
SC-2019-04-169803,CA-2019-169803,12-04-2019,Standard Class
FC-2019-04-118486,US-2019-118486,08-04-2019,First Class
SC-2019-04-136742,CA-2019-136742,10-04-2019,Standard Class
SC-2019-04-102652,CA-2019-102652,12-04-2019,Standard Class
FC-2019-04-124023,CA-2019-124023,10-04-2019,First Class
SC-2019-04-165806,CA-2019-165806,07-04-2019,Same Day
SC-2019-04-128846,CA-2019-128846,12-04-2019,Standard Class
SC-2019-04-100363,CA-2019-100363,15-04-2019,Standard Class
SC-2019-04-121769,CA-2019-121769,12-04-2019,Standard Class
SC-2019-04-163797,US-2019-163797,13-04-2019,Standard Class
SC-2019-04-150581,CA-2019-150581,12-04-2019,Standard Class
SC-2019-04-118997,US-2019-118997,12-04-2019,Standard Class
SC-2019-04-102715,US-2019-102715,13-04-2019,Second Class
SC-2019-04-110555,CA-2019-110555,18-04-2019,Standard Class
SC-2019-04-138940,CA-2019-138940,16-04-2019,Second Class
SC-2019-04-121734,US-2019-121734,16-04-2019,Standard Class
SC-2019-04-154599,CA-2019-154599,17-04-2019,Standard Class
SC-2019-04-142979,CA-2019-142979,18-04-2019,Standard Class
SC-2019-04-158365,US-2019-158365,17-04-2019,Standard Class
SC-2019-04-167724,CA-2019-167724,18-04-2019,Standard Class
SC-2019-04-122336,CA-2019-122336,17-04-2019,Second Class
SC-2019-04-120740,US-2019-120740,15-04-2019,Same Day
SC-2019-04-155208,CA-2019-155208,20-04-2019,Standard Class
SC-2019-04-100678,CA-2019-100678,22-04-2019,Standard Class
SC-2019-04-110849,CA-2019-110849,23-04-2019,Standard Class
SC-2019-04-158470,CA-2019-158470,23-04-2019,Second Class
SC-2019-04-134572,CA-2019-134572,22-04-2019,Second Class
SC-2019-04-101462,CA-2019-101462,25-04-2019,Standard Class
SC-2019-04-136336,CA-2019-136336,26-04-2019,Standard Class
SC-2019-04-158064,CA-2019-158064,25-04-2019,Standard Class
SC-2019-04-122070,CA-2019-122070,24-04-2019,Second Class
SC-2019-04-111857,CA-2019-111857,26-04-2019,Second Class
FC-2019-04-112564,US-2019-112564,24-04-2019,First Class
SC-2019-04-150119,US-2019-150119,27-04-2019,Standard Class
SC-2019-04-157406,US-2019-157406,29-04-2019,Standard Class
SC-2019-04-166954,CA-2019-166954,30-04-2019,Standard Class
SC-2019-04-110100,CA-2019-110100,29-04-2019,Standard Class
SC-2019-04-116785,CA-2019-116785,30-04-2019,Standard Class
SC-2019-05-147298,CA-2019-147298,03-05-2019,Standard Class
SC-2019-05-140228,CA-2019-140228,03-05-2019,Standard Class
SC-2019-05-132983,CA-2019-132983,03-05-2019,Standard Class
SC-2019-05-118976,CA-2019-118976,03-05-2019,Standard Class
FC-2019-04-131387,CA-2019-131387,30-04-2019,First Class
SC-2019-05-107811,CA-2019-107811,03-05-2019,Standard Class
SC-2019-05-118304,CA-2019-118304,04-05-2019,Standard Class
SC-2019-05-134061,CA-2019-134061,04-05-2019,Standard Class
SC-2019-05-142727,CA-2019-142727,01-05-2019,Second Class
SC-2019-05-156006,CA-2019-156006,02-05-2019,Second Class
FC-2019-05-160094,CA-2019-160094,02-05-2019,First Class
SC-2019-05-115056,CA-2019-115056,02-05-2019,Same Day
SC-2019-05-124618,CA-2019-124618,04-05-2019,Second Class
FC-2019-05-130274,CA-2019-130274,05-05-2019,First Class
SC-2019-05-135755,CA-2019-135755,10-05-2019,Standard Class
FC-2019-05-111899,CA-2019-111899,05-05-2019,First Class
FC-2019-05-148194,US-2019-148194,07-05-2019,First Class
SC-2019-05-117709,CA-2019-117709,08-05-2019,Standard Class
FC-2019-05-111934,CA-2019-111934,07-05-2019,First Class
SC-2019-05-160738,CA-2019-160738,10-05-2019,Standard Class
SC-2019-05-166457,CA-2019-166457,09-05-2019,Second Class
SC-2019-05-154879,US-2019-154879,11-05-2019,Standard Class
SC-2019-05-121664,CA-2019-121664,10-05-2019,Standard Class
SC-2019-05-166086,CA-2019-166086,12-05-2019,Standard Class
FC-2019-05-116666,CA-2019-116666,10-05-2019,First Class
SC-2019-05-158771,CA-2019-158771,09-05-2019,Same Day
SC-2019-05-102071,US-2019-102071,15-05-2019,Standard Class
SC-2019-05-159709,CA-2019-159709,15-05-2019,Standard Class
SC-2019-05-103310,CA-2019-103310,15-05-2019,Standard Class
SC-2019-05-114181,CA-2019-114181,14-05-2019,Second Class
SC-2019-05-152100,CA-2019-152100,16-05-2019,Standard Class
SC-2019-05-139017,CA-2019-139017,17-05-2019,Standard Class
SC-2019-05-127523,CA-2019-127523,18-05-2019,Standard Class
SC-2019-05-119172,CA-2019-119172,15-05-2019,Standard Class
SC-2019-05-103849,CA-2019-103849,16-05-2019,Standard Class
SC-2019-05-155887,CA-2019-155887,17-05-2019,Standard Class
FC-2019-05-127159,CA-2019-127159,15-05-2019,First Class
SC-2019-05-113768,CA-2019-113768,19-05-2019,Standard Class
FC-2019-05-140165,CA-2019-140165,15-05-2019,First Class
SC-2019-05-167164,CA-2019-167164,15-05-2019,Second Class
SC-2019-05-114433,CA-2019-114433,17-05-2019,Standard Class
SC-2019-05-106810,CA-2019-106810,20-05-2019,Standard Class
SC-2019-05-163146,US-2019-163146,20-05-2019,Standard Class
SC-2019-05-125150,CA-2019-125150,23-05-2019,Standard Class
SC-2019-05-148761,CA-2019-148761,21-05-2019,Standard Class
SC-2019-05-133963,CA-2019-133963,22-05-2019,Second Class
SC-2019-05-164224,CA-2019-164224,20-05-2019,Second Class
SC-2019-05-103373,CA-2019-103373,24-05-2019,Standard Class
FC-2019-05-130155,CA-2019-130155,22-05-2019,First Class
SC-2019-05-107699,US-2019-107699,23-05-2019,Standard Class
SC-2019-05-114188,US-2019-114188,22-05-2019,Second Class
SC-2019-05-130673,CA-2019-130673,22-05-2019,Second Class
SC-2019-05-127166,CA-2019-127166,23-05-2019,Second Class
SC-2019-05-104780,CA-2019-104780,25-05-2019,Standard Class
SC-2019-05-117639,CA-2019-117639,25-05-2019,Standard Class
SC-2019-05-152443,CA-2019-152443,26-05-2019,Standard Class
SC-2019-05-143840,CA-2019-143840,29-05-2019,Standard Class
SC-2019-05-135881,US-2019-135881,27-05-2019,Standard Class
SC-2019-05-105767,US-2019-105767,27-05-2019,Standard Class
SC-2019-05-138513,CA-2019-138513,27-05-2019,Standard Class
SC-2019-05-143413,CA-2019-143413,30-05-2019,Standard Class
SC-2019-05-130379,US-2019-130379,29-05-2019,Standard Class
SC-2019-05-100391,CA-2019-100391,29-05-2019,Standard Class
SC-2019-05-144029,CA-2019-144029,31-05-2019,Standard Class
SC-2019-05-158029,CA-2019-158029,30-05-2019,Standard Class
SC-2019-05-156349,CA-2019-156349,30-05-2019,Standard Class
FC-2019-05-129574,CA-2019-129574,29-05-2019,First Class
SC-2019-05-124429,CA-2019-124429,27-05-2019,Same Day
SC-2019-06-139192,CA-2019-139192,01-06-2019,Second Class
FC-2019-05-117058,US-2019-117058,30-05-2019,First Class
SC-2019-06-135993,CA-2019-135993,02-06-2019,Standard Class
SC-2019-06-108861,CA-2019-108861,01-06-2019,Standard Class
FC-2019-06-103429,CA-2019-103429,01-06-2019,First Class
SC-2019-06-146885,CA-2019-146885,05-06-2019,Standard Class
SC-2019-06-140473,CA-2019-140473,03-06-2019,Standard Class
SC-2019-06-145800,CA-2019-145800,05-06-2019,Standard Class
SC-2019-06-105872,CA-2019-105872,06-06-2019,Standard Class
SC-2019-06-166051,CA-2019-166051,05-06-2019,Standard Class
SC-2019-06-131926,CA-2019-131926,06-06-2019,Second Class
SC-2019-06-111003,CA-2019-111003,06-06-2019,Standard Class
SC-2019-06-157070,US-2019-157070,06-06-2019,Standard Class
SC-2019-06-165659,US-2019-165659,06-06-2019,Standard Class
SC-2019-06-104472,CA-2019-104472,07-06-2019,Standard Class
SC-2019-06-100895,CA-2019-100895,06-06-2019,Standard Class
FC-2019-06-163867,CA-2019-163867,06-06-2019,First Class
SC-2019-06-135657,CA-2019-135657,07-06-2019,Second Class
SC-2019-06-141299,CA-2019-141299,07-06-2019,Second Class
SC-2019-06-147914,CA-2019-147914,09-06-2019,Standard Class
SC-2019-06-151946,CA-2019-151946,09-06-2019,Standard Class
SC-2019-06-169257,CA-2019-169257,12-06-2019,Standard Class
SC-2019-06-161305,US-2019-161305,12-06-2019,Standard Class
SC-2019-06-159520,CA-2019-159520,11-06-2019,Standard Class
SC-2019-06-151897,CA-2019-151897,10-06-2019,Standard Class
FC-2019-06-133270,CA-2019-133270,09-06-2019,First Class
SC-2019-06-106229,CA-2019-106229,11-06-2019,Second Class
SC-2019-06-134971,US-2019-134971,10-06-2019,Second Class
SC-2019-06-109162,US-2019-109162,12-06-2019,Standard Class
SC-2019-06-108147,CA-2019-108147,13-06-2019,Standard Class
SC-2019-06-141257,US-2019-141257,14-06-2019,Standard Class
SC-2019-06-115812,CA-2019-115812,14-06-2019,Standard Class
SC-2019-06-133753,CA-2019-133753,13-06-2019,Second Class
SC-2019-06-160262,CA-2019-160262,13-06-2019,Second Class
SC-2019-06-133851,CA-2019-133851,16-06-2019,Standard Class
SC-2019-06-132612,CA-2019-132612,11-06-2019,Second Class
SC-2019-06-144281,CA-2019-144281,15-06-2019,Second Class
SC-2019-06-114643,CA-2019-114643,17-06-2019,Standard Class
SC-2019-06-140487,CA-2019-140487,20-06-2019,Standard Class
SC-2019-06-126963,CA-2019-126963,15-06-2019,Same Day
SC-2019-06-141215,US-2019-141215,21-06-2019,Standard Class
SC-2019-06-113929,CA-2019-113929,21-06-2019,Standard Class
SC-2019-06-136644,CA-2019-136644,22-06-2019,Standard Class
SC-2019-06-156342,CA-2019-156342,20-06-2019,Second Class
SC-2019-06-144414,CA-2019-144414,21-06-2019,Standard Class
SC-2019-06-104402,CA-2019-104402,23-06-2019,Standard Class
SC-2019-06-123855,CA-2019-123855,23-06-2019,Standard Class
SC-2019-06-166863,CA-2019-166863,24-06-2019,Standard Class
SC-2019-06-112949,US-2019-112949,27-06-2019,Standard Class
SC-2019-06-138317,CA-2019-138317,25-06-2019,Standard Class
SC-2019-06-160780,US-2019-160780,21-06-2019,Same Day
SC-2019-06-128146,CA-2019-128146,25-06-2019,Standard Class
FC-2019-06-141278,CA-2019-141278,24-06-2019,First Class
SC-2019-06-117135,US-2019-117135,23-06-2019,Second Class
FC-2019-06-130624,CA-2019-130624,24-06-2019,First Class
SC-2019-06-141796,CA-2019-141796,21-06-2019,Same Day
SC-2019-06-133389,CA-2019-133389,22-06-2019,Same Day
FC-2019-06-124646,CA-2019-124646,24-06-2019,First Class
SC-2019-06-154963,CA-2019-154963,27-06-2019,Standard Class
FC-2019-06-142048,CA-2019-142048,25-06-2019,First Class
SC-2019-06-126032,CA-2019-126032,28-06-2019,Standard Class
FC-2019-06-130358,US-2019-130358,26-06-2019,First Class
SC-2019-06-159814,CA-2019-159814,28-06-2019,Standard Class
SC-2019-06-164469,CA-2019-164469,27-06-2019,Second Class
FC-2019-06-159338,CA-2019-159338,28-06-2019,First Class
SC-2019-07-104283,CA-2019-104283,01-07-2019,Standard Class
SC-2019-07-156993,CA-2019-156993,04-07-2019,Standard Class
SC-2019-07-140858,CA-2019-140858,02-07-2019,Standard Class
SC-2019-07-111773,CA-2019-111773,03-07-2019,Standard Class
SC-2019-07-165974,CA-2019-165974,06-07-2019,Standard Class
SC-2019-07-109218,CA-2019-109218,03-07-2019,Second Class
SC-2019-07-116757,CA-2019-116757,04-07-2019,Standard Class
SC-2019-06-152254,CA-2019-152254,30-06-2019,Same Day
SC-2019-07-121566,US-2019-121566,06-07-2019,Standard Class
FC-2019-07-123064,CA-2019-123064,02-07-2019,First Class
SC-2019-07-146640,CA-2019-146640,05-07-2019,Standard Class
SC-2019-07-160773,CA-2019-160773,05-07-2019,Standard Class
SC-2019-07-153150,CA-2019-153150,06-07-2019,Second Class
SC-2019-07-107594,CA-2019-107594,06-07-2019,Standard Class
FC-2019-07-120096,CA-2019-120096,07-07-2019,First Class
SC-2019-07-138709,CA-2019-138709,09-07-2019,Standard Class
SC-2019-07-152849,CA-2019-152849,12-07-2019,Standard Class
FC-2019-07-103317,CA-2019-103317,08-07-2019,First Class
FC-2019-07-157784,CA-2019-157784,08-07-2019,First Class
SC-2019-07-160444,US-2019-160444,05-07-2019,Same Day
SC-2019-07-107139,CA-2019-107139,11-07-2019,Standard Class
FC-2019-07-134278,CA-2019-134278,08-07-2019,First Class
SC-2019-07-147543,CA-2019-147543,12-07-2019,Standard Class
SC-2019-07-138758,US-2019-138758,11-07-2019,Standard Class
FC-2019-07-150301,CA-2019-150301,10-07-2019,First Class
SC-2019-07-100090,CA-2019-100090,12-07-2019,Standard Class
SC-2019-07-114125,CA-2019-114125,13-07-2019,Standard Class
SC-2019-07-165379,CA-2019-165379,15-07-2019,Standard Class
SC-2019-07-113271,CA-2019-113271,14-07-2019,Standard Class
SC-2019-07-163552,CA-2019-163552,15-07-2019,Standard Class
FC-2019-07-123225,CA-2019-123225,14-07-2019,First Class
SC-2019-07-133305,CA-2019-133305,15-07-2019,Standard Class
FC-2019-07-166555,CA-2019-166555,14-07-2019,First Class
SC-2019-07-124807,CA-2019-124807,15-07-2019,Second Class
SC-2019-07-129924,CA-2019-129924,17-07-2019,Standard Class
SC-2019-07-161508,CA-2019-161508,16-07-2019,Standard Class
SC-2019-07-110184,CA-2019-110184,16-07-2019,Standard Class
SC-2019-07-131310,CA-2019-131310,18-07-2019,Standard Class
SC-2019-07-165862,US-2019-165862,17-07-2019,Standard Class
SC-2019-07-164182,CA-2019-164182,18-07-2019,Standard Class
SC-2019-07-124464,CA-2019-124464,20-07-2019,Standard Class
SC-2019-07-150532,US-2019-150532,21-07-2019,Standard Class
SC-2019-07-103905,US-2019-103905,20-07-2019,Standard Class
SC-2019-07-109904,CA-2019-109904,17-07-2019,Second Class
SC-2019-07-115980,CA-2019-115980,19-07-2019,Standard Class
SC-2019-07-123295,CA-2019-123295,18-07-2019,Same Day
SC-2019-07-138198,CA-2019-138198,23-07-2019,Standard Class
SC-2019-07-150434,US-2019-150434,24-07-2019,Standard Class
SC-2019-07-168158,CA-2019-168158,24-07-2019,Standard Class
SC-2019-07-142965,CA-2019-142965,20-07-2019,Same Day
SC-2019-07-143903,CA-2019-143903,24-07-2019,Standard Class
FC-2019-07-141726,CA-2019-141726,22-07-2019,First Class
FC-2019-07-157546,CA-2019-157546,22-07-2019,First Class
FC-2019-07-127866,CA-2019-127866,23-07-2019,First Class
SC-2019-07-129189,CA-2019-129189,25-07-2019,Standard Class
SC-2019-07-116932,CA-2019-116932,25-07-2019,Standard Class
SC-2019-07-109890,CA-2019-109890,27-07-2019,Standard Class
SC-2019-07-117464,CA-2019-117464,24-07-2019,Second Class
SC-2019-07-127691,CA-2019-127691,27-07-2019,Standard Class
SC-2019-07-122679,CA-2019-122679,28-07-2019,Standard Class
SC-2019-07-164644,US-2019-164644,24-07-2019,Second Class
SC-2019-07-145254,CA-2019-145254,27-07-2019,Standard Class
FC-2019-07-103058,CA-2019-103058,24-07-2019,First Class
SC-2019-07-119137,US-2019-119137,27-07-2019,Standard Class
SC-2019-07-143917,CA-2019-143917,27-07-2019,Second Class
SC-2019-07-146528,CA-2019-146528,27-07-2019,Second Class
SC-2019-08-116190,CA-2019-116190,01-08-2019,Standard Class
SC-2019-07-169019,CA-2019-169019,30-07-2019,Standard Class
SC-2019-08-126760,CA-2019-126760,02-08-2019,Standard Class
SC-2019-07-155894,US-2019-155894,30-07-2019,Second Class
SC-2019-08-159121,CA-2019-159121,01-08-2019,Standard Class
SC-2019-08-150126,US-2019-150126,02-08-2019,Standard Class
SC-2019-07-124709,CA-2019-124709,29-07-2019,Second Class
SC-2019-07-169642,CA-2019-169642,30-07-2019,Second Class
SC-2019-07-131541,CA-2019-131541,28-07-2019,Same Day
SC-2019-08-111192,CA-2019-111192,05-08-2019,Standard Class
FC-2019-08-152296,CA-2019-152296,03-08-2019,First Class
SC-2019-08-117345,CA-2019-117345,05-08-2019,Standard Class
SC-2019-08-162684,CA-2019-162684,06-08-2019,Standard Class
SC-2019-08-106299,US-2019-106299,08-08-2019,Standard Class
SC-2019-08-125612,CA-2019-125612,08-08-2019,Standard Class
SC-2019-08-128986,CA-2019-128986,05-08-2019,Second Class
FC-2019-08-133690,CA-2019-133690,05-08-2019,First Class
SC-2019-08-134215,CA-2019-134215,08-08-2019,Standard Class
SC-2019-08-126361,CA-2019-126361,09-08-2019,Second Class
SC-2019-08-150490,CA-2019-150490,11-08-2019,Standard Class
SC-2019-08-110065,CA-2019-110065,11-08-2019,Standard Class
SC-2019-08-117968,US-2019-117968,07-08-2019,Second Class
SC-2019-08-124723,CA-2019-124723,12-08-2019,Standard Class
SC-2019-08-118962,CA-2019-118962,09-08-2019,Standard Class
SC-2019-08-115357,CA-2019-115357,11-08-2019,Second Class
SC-2019-08-137575,CA-2019-137575,11-08-2019,Standard Class
SC-2019-08-124478,CA-2019-124478,12-08-2019,Standard Class
SC-2019-08-154669,CA-2019-154669,11-08-2019,Second Class
SC-2019-08-131450,CA-2019-131450,15-08-2019,Standard Class
SC-2019-08-156790,CA-2019-156790,10-08-2019,Second Class
SC-2019-08-151708,CA-2019-151708,14-08-2019,Standard Class
SC-2019-08-167850,CA-2019-167850,16-08-2019,Standard Class
SC-2019-08-166471,CA-2019-166471,13-08-2019,Standard Class
SC-2019-08-161249,CA-2019-161249,13-08-2019,Standard Class
SC-2019-08-141901,CA-2019-141901,14-08-2019,Standard Class
SC-2019-08-169726,CA-2019-169726,13-08-2019,Standard Class
SC-2019-08-110527,CA-2019-110527,16-08-2019,Standard Class
SC-2019-08-127012,CA-2019-127012,15-08-2019,Standard Class
SC-2019-08-154641,CA-2019-154641,16-08-2019,Standard Class
SC-2019-08-109897,CA-2019-109897,16-08-2019,Standard Class
SC-2019-08-156244,CA-2019-156244,16-08-2019,Standard Class
FC-2019-08-153927,CA-2019-153927,13-08-2019,First Class
SC-2019-08-109302,CA-2019-109302,16-08-2019,Standard Class
SC-2019-08-164406,US-2019-164406,19-08-2019,Standard Class
FC-2019-08-109043,CA-2019-109043,17-08-2019,First Class
FC-2019-08-138023,CA-2019-138023,18-08-2019,First Class
FC-2019-08-141005,CA-2019-141005,18-08-2019,First Class
